"","data_aet","data_tmax","data_tmin","data_ws","data_ppt"
"1",0.5,28.44,13.89,5.27,0.5
"2",8.8,27.94,12.97,4.69,9.2
"3",2.5,27.69,12.96,4.93,2.6
"4",8.6,25.07,10.87,3.92,9
"5",50.8,20.95,8.45,3.43,53.4
"6",20.5,19.52,6.12,3.07,21.5
"7",7.5,19.72,7.08,3.26,7.8
"8",31.6,20.56,7.09,4.1,33.2
"9",5.4,21.24,7.54000000000001,4.73,5.7
"10",7,23.62,9.05,5.2,7.4
"11",4.2,25.83,11.73,4.41,4.4
"12",0.3,28.75,14.48,5.96,0.3
"13",2,27.23,13.16,5.18,2.1
"14",2.8,29.37,14.24,4.84,2.9
"15",6.1,27.73,13.15,4.43,6.4
"16",23.1,24.29,10.99,3.66,24.3
"17",64.2,18.8,8.95,3.95,121.6
"18",31.9,20.73,8.14,2.53,9.9
"19",19.2,19.61,6.96000000000001,2.9,16
"20",37.3,20.14,8.12,3.85,37.1
"21",10.8,22.17,8.44,4.33,10
"22",16.2,22.92,9.34,4.73,16.1
"23",0.9,26.9,12.57,5.33,0.3
"24",3.8,27.6,13.56,5.93,3.5
"25",0.6,28.36,13.88,4.84,0.3
"26",1.4,29.5,13.97,4.42,1.1
"27",4.2,26.79,12.8,4.18,4.1
"28",15.4,24.79,10.87,3.92,15.9
"29",32.8,20.61,9.13,3.18,34.3
"30",26.9,20.36,8.12,3.13,28.2
"31",7.1,19.81,6.74000000000001,2.78,7.3
"32",9.7,19.82,7.26000000000001,3.19,10
"33",5.2,22.85,8.48,4.82,5.3
"34",5.7,24.33,10.03,4.31,5.9
"35",0.3,27.96,13.44,5.14,0.2
"36",11.2,28.21,14.35,5.89,11.7
"37",11.6,28.04,14.38,4.25,12.2
"38",1,29.01,13.63,4.56,1
"39",4.4,27.65,14.01,4.68,4.5
"40",45.4,25.09,11.96,3.44,47.7
"41",25.3,20.41,8.53,3.3,26.6
"42",50.1,20.26,8.53,3.63,52.6
"43",30,20.62,8.57000000000001,3.66,31.5
"44",29.4,20.35,8.17,3.68,30.9
"45",40.5,20.71,8.79000000000001,4.55,42.6
"46",3.8,22.09,8.24000000000001,4.77,4
"47",0.8,27.09,12.42,5.4,0.8
"48",1.1,27.27,12.55,6.32,1.1
"49",2.5,28.19,13.96,4.98,2.6
"50",4.5,28.07,13.96,4.69,4.7
"51",3.2,27.52,13.26,4.55,3.4
"52",16.4,25.22,11.3,3.68,17.3
"53",9,23.7,9.01000000000001,3.48,9.5
"54",55.4,18.44,8.95,3.46,116.6
"55",52.8,19.38,7.58,3.32,35.1
"56",61.4,19.42,7.63,3.92,58.4
"57",12.6,20.7,8.01000000000001,4.33,10.5
"58",26.3,23.02,9.76000000000001,4.56,26.1
"59",18.7,24.57,11.39,5.28,18.7
"60",1.4,28.15,13.08,6.12,0.7
"61",9.7,29.65,16.13,4.53,9.7
"62",0.7,29.1,13.74,5.14,0.3
"63",2.6,27.9,13.88,4.88,2.3
"64",11.3,25.36,11.07,3.51,11.6
"65",8.2,22.84,9.98,3.25,8.4
"66",39.5,20.79,9.08,3.35,41.4
"67",44.7,18.15,7.66,3.36,46.8
"68",69.9,19.79,8.2,3.62,73.4
"69",11.7,22.59,10.35,3.82,12.2
"70",5.5,24.64,11.67,4.07,5.7
"71",16.5,27.19,14.02,4.66,17.2
"72",8.3,28.64,14.15,5.26,8.7
"73",0.2,28.78,14.36,5.12,0.1
"74",9.5,27.57,13.91,4.82,9.9
"75",1.6,27.73,13.54,4.89,1.6
"76",6.7,25.65,10.67,4.15,6.9
"77",10.7,23.47,10.13,3.45,11.2
"78",57.9,18.69,7.58,3.51,70.6
"79",18.5,19.62,7.39,3.58,16.6
"80",32.1,18.94,6.97,4.11,32.2
"81",19.4,20.1,7.38,4.2,19.3
"82",10.6,22.7,10.05,4.31,10.4
"83",24,24.41,11.8,5.05,24.7
"84",1.4,28.48,13.95,5.63,1
"85",5.4,28.36,14.66,4.53,5.3
"86",7.6,27.6,13.92,4.17,7.7
"87",27.4,26.51,13.05,4.54,28.6
"88",24.5,24.27,12.46,3.71,25.5
"89",16.5,21.38,8.53,3.57,17.2
"90",20,20.01,5.86,2.96,20.9
"91",16.2,18.64,7.61,3.18,17
"92",17,19.7,7.79000000000001,3.3,17.7
"93",7.5,22.58,9.01000000000001,4.84,7.7
"94",6.5,23,10.61,5,6.7
"95",2.1,25.6,11.5,5.07,2.1
"96",12.2,25.78,11.89,5.26,12.7
"97",0.3,28.67,13.94,5.02,0.3
"98",1,26.59,12.46,5,0.9
"99",12.6,27.02,13.1,4.58,13.2
"100",13.8,26.54,12.94,3.49,14.5
"101",7.8,22.12,9.03,2.91,8.1
"102",33.3,20.87,7.98,3.26,35
"103",41.4,17.42,7.12,3.51,43.6
"104",20.1,19.46,8,3.51,21.1
"105",21.5,21.41,8.97,4.65,22.6
"106",0.9,24.92,10.55,4.45,0.9
"107",0.8,26.41,12.3,5.11,0.8
"108",0.9,28.69,13.96,5.51,0.9
"109",1.5,27.46,13.36,5.12,1.6
"110",6.1,29.51,14.16,5.21,6.4
"111",4.1,27.35,13.3,4.87,4.3
"112",38.5,22.85,11.1,4.33,40.5
"113",32.3,21.14,9.86,3.27,33.9
"114",51.5,17.85,7.60000000000001,3.25,87.5
"115",36.6,19.06,6.53,3.65,18
"116",26.7,20.3,7.10000000000001,3.75,23.9
"117",13.3,22.88,8.12,5.04,11.8
"118",10.9,23.34,10.31,4.69,10.2
"119",15.9,27.14,12.85,5.07,15.8
"120",1,29.07,13.78,5.57,0.3
"121",4,26.73,13.42,5.13,3.7
"122",1.1,27.06,12.18,5.63,0.7
"123",1.3,28.47,13.3,5.86,1
"124",23.3,24.25,11.43,4.74,24.2
"125",56.4,20.38,10.65,4.38,59.2
"126",38.8,19.1,6.84,5.12,40.7
"127",39.6,17.72,6.64,4.31,41.5
"128",35.4,18.35,6.95,4.58,37.1
"129",5.8,22.28,7.93000000000001,5.03,5.9
"130",29.7,22.02,9.88,5.54,31.1
"131",1.9,27.63,12.42,6.05,1.9
"132",1.4,27.34,13.04,5.48,1.4
"133",5.7,27.83,14.19,5.27,5.9
"134",2.1,28.47,14.4,5.61,2.1
"135",2.8,28.56,14.46,5.32,2.8
"136",23.6,23.49,10.72,4.42,24.7
"137",3.3,22.07,8.10000000000001,3.84,3.4
"138",17.6,18.97,6.99000000000001,3.79,18.4
"139",10.5,19.64,6.93000000000001,3.94,11
"140",15.1,20.76,8.69,4.49,15.9
"141",14.7,20.94,7.5,5.85,15.4
"142",23.6,22.54,10.42,5.75,24.8
"143",2.6,25.59,11.6,5.48,2.7
"144",0.7,28.29,13.05,6.41,0.7
"145",1.3,28.84,14.3,5.47,1.4
"146",2.2,28.8,14.34,5.19,2.3
"147",0.2,28.34,13.47,4.83,0.2
"148",1.3,26.58,11.82,4.72,1.4
"149",33.8,20.08,9.85000000000001,3.97,35.5
"150",44,18.45,7.8,4.09,46.3
"151",38.6,16.9,5.71000000000001,4.42,40.6
"152",30.9,17.76,6.54000000000001,4.39,32.5
"153",10.4,19.87,7.27,4.55,11
"154",10.7,24.14,10.97,5.34,11.2
"155",1.7,24.81,10.61,5.99,1.8
"156",4.1,25.67,11.94,6.1,4.3
"157",1.6,27.86,13.66,5.51,1.6
"158",0.5,29.21,14.4,5.69,0.5
"159",5.7,27.75,13.3,5.1,6
"160",3.1,24.6,10.56,4.27,3.3
"161",10.6,22.71,8.69,4.26,11.1
"162",26,19.72,7.2,3.99,27.4
"163",42.3,18.36,7.38,4.27,44.5
"164",44.3,17.69,7.07000000000001,4.11,46.6
"165",1.5,19.87,6.44,4.63,1.6
"166",3.4,23.59,9.35000000000001,5.17,3.6
"167",1.5,25.7,11.54,5.74,1.6
"168",1,27.48,13.51,5.04,1
"169",10.3,29.03,14.5,5.02,10.8
"170",0.8,29.17,13.78,5.27,0.9
"171",10.8,28.43,14.2,4.13,11.3
"172",21,25.47,10.78,3.97,22.1
"173",22,22.2,9.78,3.78,23.1
"174",33.4,20.19,8.28,3.69,35.1
"175",24.4,20.28,7.13,3.71,25.7
"176",19.9,19.79,7.29000000000001,3.85,21
"177",15.4,21.94,9.3,4.38,16.2
"178",3.2,25.29,10.86,4.99,3.3
"179",0,29.26,14.24,5.03,0
"180",7.7,26.97,13.3,5.98,8.1
"181",0.3,28.47,14.06,4.87,0.4
"182",1.4,29.49,14.89,4.95,1.5
"183",21.5,27.79,14.06,4.94,22.7
"184",1,27.69,12.95,4.44,1.1
"185",22.1,21.81,8.7,4,23.2
"186",6,22.13,8.16,3.64,6.4
"187",58.8,19.26,8.55,4.77,61.8
"188",29.6,19.62,7.41,3.63,31.2
"189",14.7,20.34,7.21000000000001,4.93,15.5
"190",4.9,24.97,11.24,5.1,5.1
"191",3.7,27.06,13.01,5.03,3.9
"192",13.3,27.74,13.91,5.41,14
"193",2.2,28.66,14.9,4.87,2.4
"194",5.2,29.64,14.96,4.95,5.4
"195",1.2,28.64,14.05,4.94,1.3
"196",2.1,26.97,12.45,4.44,2.2
"197",38.9,21.26,10.09,4,41
"198",62.3,19.82,9.2,3.64,73
"199",17.9,19.2,7.04000000000001,4.77,17.4
"200",69.1,18.07,8.01000000000001,3.63,117.9
"201",36,20.38,7.76000000000001,4.93,14.2
"202",21.5,22.57,9.16,5.1,18.4
"203",13.2,26.29,13.17,5.25,11.7
"204",2.1,28.27,13.31,5.71,0.9
"205",13.8,28.06,14.1,4.81,13.7
"206",2.4,29.59,15.17,5.09,1.8
"207",2.6,28.11,13.7,4.89,2.2
"208",20.2,24.98,11.75,4.04,20.9
"209",73.9,21.53,9.43000000000001,3.29,79.5
"210",24.9,20.93,7.83,3.79,25.5
"211",29.9,18.32,7.51000000000001,3.52,31
"212",28.4,18.9,6.37,4.45,29.5
"213",3.5,22.83,9.19,4.55,3.4
"214",18,22.33,9.34,4.77,18.7
"215",5.6,25.5,11.71,5.23,5.6
"216",6,27.44,12.98,5.43,6.1
"217",5.2,30.12,15.04,5.38,5.3
"218",6.8,28.57,13.92,4.88,7
"219",5.2,26.85,13.37,5.42,5.3
"220",52.9,25.67,11.77,4.33,55.5
"221",14.2,23.25,10.49,3.59,14.9
"222",55.5,19.04,8.89,3.12,86.9
"223",52.3,18.39,7.36,3.58,41.1
"224",26.8,19.8,6.66,3.77,22.4
"225",16.2,21.04,9.24000000000001,5.04,14.5
"226",6.9,23.3,10.59,5.28,5.7
"227",37.2,22.7,10.67,5.28,38.2
"228",21.7,26.28,13.28,5.82,22.1
"229",7.7,27.52,13.82,5.02,7.6
"230",14.5,28.84,15.59,5.58,14.9
"231",2.7,27.89,13.36,5.13,2.5
"232",32.4,25.76,13.02,3.66,33.8
"233",72,19.54,9.16,3.47,86.1
"234",60,18.87,8.90000000000001,4.49,60.2
"235",59.8,18.5,6.64,3.78,60.8
"236",44.8,20.49,8.46000000000001,3.38,45.5
"237",18.3,20.79,8.94,4.33,18.2
"238",5.1,23.31,9.82000000000001,4.96,4.6
"239",10.2,27.2,12.59,5.34,10.2
"240",7.3,28.07,14.12,5.17,7.3
"241",6.5,28.95,14.41,4.79,6.5
"242",2.5,28.82,14.02,5.45,2.3
"243",13.2,28.49,13.88,5.06,13.7
"244",14.6,25.33,11.87,3.9,15.2
"245",8.2,21.44,8.48,4.29,8.5
"246",3.8,22.16,7.29000000000001,4.12,3.8
"247",5.4,21.6,7.89,3.59,5.6
"248",51.3,18.78,7.52,4.32,53.9
"249",16.4,20.48,7.91,4.48,17.1
"250",7.1,22.23,8.69,4.53,7.4
"251",4.8,27.27,12.5,5.65,5
"252",5.5,27.95,14.16,5.11,5.8
"253",3.6,29.04,14.49,4.74,3.7
"254",4.1,29.21,14.66,4.75,4.3
"255",1.2,26.87,12.78,4.68,1.2
"256",1.6,26.49,11.74,3.3,1.6
"257",31.3,22.77,10.75,4.01,32.9
"258",39.5,20.62,8.74000000000001,4.14,41.6
"259",19.3,19.24,7.47,3.72,20.3
"260",21.2,20.31,8.54000000000001,4.31,22.3
"261",14.1,21.11,8.09,4.7,14.8
"262",16.7,22.59,9.68000000000001,4.72,17.5
"263",1.6,27.35,12.84,5.25,1.6
"264",0,29.24,13.75,5.71,0
"265",6.6,28.41,14.26,5.13,6.9
"266",1.9,28.86,14.17,5.03,2
"267",3.4,29.19,14.13,4.16,3.5
"268",12.9,25.22,11.89,4,13.6
"269",38.9,21.48,9.03,3.35,41
"270",50.6,20.44,7.86,3.51,53.3
"271",11.3,21.79,7.62,3.29,11.9
"272",35.5,21.34,8.72,3.69,37.3
"273",5.1,21.74,8.97,4.39,5.3
"274",5.4,24.71,9.82000000000001,4.89,5.7
"275",29.3,23.88,12.31,5.07,30.8
"276",4.6,26.93,13.85,5.44,4.8
"277",7.1,27.04,13.72,5.2,7.5
"278",0,29.09,14.75,5.32,0
"279",8.3,27.37,13.2,4.89,8.7
"280",12.2,26.38,11.67,3.95,12.8
"281",5.4,23.45,10.29,3.26,5.6
"282",17.7,19.62,6.81,2.79,18.6
"283",52,18.33,6.90000000000001,3.77,54.7
"284",56.6,17.78,7.54000000000001,4.74,59.6
"285",30.3,20.58,8.44,5.12,31.9
"286",6.9,24.54,10.63,4.83,7.3
"287",5.2,26.02,12.47,5.17,5.5
"288",8.6,27.66,13.75,5.63,9
"289",19.9,27.31,14.16,4.66,21
"290",0.6,28.56,14.03,5.14,0.6
"291",13.1,27.24,13.2,5.06,13.8
"292",35.7,23.52,11.14,4.23,37.6
"293",17.7,22.25,9.35000000000001,3.26,18.6
"294",39.9,19.75,7.55,3.17,42
"295",36.4,19.57,7.49000000000001,3.21,38.3
"296",16.1,20.36,7.52,3.24,16.9
"297",4.2,24.14,9.68000000000001,4.45,4.4
"298",25.4,24.48,11.51,5.23,26.7
"299",3.9,25.24,11.59,5.08,4.1
"300",7.3,26.8,12.63,5.05,7.6
"301",2.9,29.01,14.36,4.41,3
"302",10.8,27.24,13.13,5.21,11.4
"303",7.6,27.79,13.13,4.89,8
"304",8,27,12.77,3.67,8.4
"305",74.5,20.87,9.85000000000001,3.81,82.3
"306",49.4,19.51,8.11,3.63,51.5
"307",38.7,19.07,7.77,4.18,40.4
"308",13.1,20.5,7.21000000000001,3.5,13.4
"309",32.6,19.94,8.64,4.34,34.1
"310",2.7,24.32,10.83,4.98,2.6
"311",8.7,25.52,12.12,5.14,8.9
"312",2.3,28.07,13.88,5.14,2.2
"313",1.2,29.09,14.96,4.59,1.1
"314",0.4,29.77,14.63,5.13,0.3
"315",20.5,28.83,15.03,4.94,21.5
"316",7.6,26.7,12.08,3.84,7.9
"317",72.9,20.8,10.34,3.86,76.7
"318",11,21.43,8.88,3.67,11.5
"319",19.3,19.79,7.77,3.71,20.3
"320",15.4,20.66,7.52,3.43,16.1
"321",40.2,21.37,9.10000000000001,4.1,42.2
"322",35.8,22.52,10.36,5.06,37.7
"323",3,27.91,13.01,5.36,3.1
"324",18.3,26.39,13.17,5.59,19.2
"325",15.5,28.39,15.36,4.53,16.3
"326",7.7,28.63,14.98,5.29,8.1
"327",22.9,26.3,12.73,4.83,24.1
"328",23.3,25.2,12.1,4.07,24.5
"329",37.5,23.04,9.96000000000001,3.38,39.4
"330",30.5,20.6,8.12,3.1,32.1
"331",46.4,19.39,7.24000000000001,3.04,48.8
"332",24.6,21.37,8.38,3.44,25.9
"333",18.5,21.53,8.84,4.24,19.5
"334",8.5,24.61,11.5,5.32,9
"335",10.8,28.76,14.9,4.61,11.4
"336",17.2,27.22,13.99,5.23,18
"337",2.2,29.08,14.79,4.78,2.3
"338",0.6,29,14.44,4.97,0.6
"339",9,26.71,12.9,4.75,9.5
"340",12,25.57,12.02,3.62,12.6
"341",9.2,23.25,10.49,3.07,9.7
"342",61.5,19.79,9.28,4.07,80.2
"343",41.9,19.06,8.17,3.21,38.3
"344",43.5,20.26,9.39,3.58,43.2
"345",18.8,22.73,9.61,4.43,18.3
"346",6,24.31,10.64,4.45,5.3
"347",5.2,26.31,12.31,5.23,4.7
"348",0.7,28.95,14.23,5.53,0.2
"349",4.9,27.72,13.78,4.55,4.7
"350",3.7,28.18,13.79,4.9,3.6
"351",1.3,27.74,13.82,4.87,1
"352",35.8,25.4,11.4,3.44,37.4
"353",30.4,24.26,11.74,3.31,31.8
"354",40.2,20.53,8.48,3.54,42.1
"355",48.8,19.32,8.26000000000001,3.78,51.3
"356",41.3,20.69,8.48,3.79,43.3
"357",32,21.01,9.5,4.81,33.6
"358",1.7,24.47,10.96,4.78,1.7
"359",1.3,25.81,12.02,5.09,1.2
"360",8.1,27.4,13.61,4.85,8.5
"361",1.1,28.54,14.05,5.02,1.1
"362",3.2,30.65,15.79,5.13,3.3
"363",6.3,27.83,14.94,3.97,6.6
"364",44.6,24.06,11.51,4.48,46.9
"365",14.8,23.16,11.2,3.08,15.5
"366",40.4,19.61,8,3.71,42.5
"367",15.6,18.83,7.28,2.97,16.4
"368",33.6,21.51,9.2,3.44,35.3
"369",18.4,21.47,8.52,4.57,19.3
"370",3.4,22.79,9.69,4.81,3.5
"371",2.3,27.47,13.02,5.25,2.4
"372",7.2,28.74,14.22,5.52,7.6
"373",0.6,29.23,15.29,4.33,0.6
"374",5.4,29.21,15.33,4.96,5.7
"375",14.1,27.38,13.91,4.81,14.9
"376",29.5,26.35,12.71,4.12,31.1
"377",17,21.68,9.68000000000001,2.84,17.9
"378",28.2,19.64,8.02,3.07,29.7
"379",40.1,18.27,7.29000000000001,3.43,42.2
"380",46.2,19.96,8.49000000000001,3.34,48.6
"381",28.8,21.37,9,4.31,30.3
"382",10.7,23.12,8.83,4.94,11.3
"383",8.7,26.5,12.74,5.3,9.1
"384",0.8,28.12,13.93,5.29,0.8
"385",3.3,29.35,14.38,4.75,3.5
"386",6.4,29.33,15.72,4.71,6.7
"387",0.3,28.04,14.12,4.5,0.3
"388",67,23.93,12.27,3.97,70.5
"389",45.7,22.42,9.78,3.1,48
"390",43.6,18.6,6.91,3.18,45.8
"391",48,17.55,7.13,3.41,50.5
"392",10,20.11,7.57000000000001,4.08,10.5
"393",2.2,23.36,8.84,4.38,2.3
"394",0.3,24.13,9.55,5.32,0.3
"395",3,25.65,11.79,5.39,3.1
"396",4.6,28.2,14.03,4.85,4.9
